Color,Name
#B4B4B4,ActiveBorder
#99B4D1,ActiveCaption
#000000,ActiveCaptionText
#ABABAB,AppWorkspace
#F0F0F0,ButtonFace
#FFFFFF,ButtonHighlight
#A0A0A0,ButtonShadow
#F0F0F0,Control
#A0A0A0,ControlDark
#696969,ControlDarkDark
#E3E3E3,ControlLight
#FFFFFF,ControlLightLight
#000000,ControlText
#000000,Desktop
#B9D1EA,GradientActiveCaption
#D7E4F2,GradientInactiveCaption
#6D6D6D,GrayText
#0078D7,Highlight
#FFFFFF,HighlightText
#0066CC,HotTrack
#F4F7FC,InactiveBorder
#BFCDDB,InactiveCaption
#000000,InactiveCaptionText
#FFFFE1,Info
#000000,InfoText
#F0F0F0,Menu
#F0F0F0,MenuBar
#0078D7,MenuHighlight
#000000,MenuText
#C8C8C8,ScrollBar
#FFFFFF,Window
#646464,WindowFrame
#000000,WindowText
